t,train loss,val loss
0,tensor(4.7622),tensor(4.7539)
200,tensor(2.3240),tensor(2.3052)
400,tensor(2.1908),tensor(2.1759)
600,tensor(2.1206),tensor(2.1243)
800,tensor(2.0539),tensor(2.0502)
1000,tensor(2.0506),tensor(2.0435)
1200,tensor(2.0416),tensor(2.0326)
1400,tensor(1.9947),tensor(1.9912)
1600,tensor(1.9916),tensor(2.0022)
1800,tensor(1.9719),tensor(1.9773)
2000,tensor(1.9654),tensor(1.9709)
2200,tensor(1.9509),tensor(1.9429)
2400,tensor(1.9574),tensor(1.9413)
2600,tensor(1.9128),tensor(1.9277)
2800,tensor(1.8878),tensor(1.9112)
